,SDS011ID,LAT,LON
0,6561,50.89,4.7214
1,8745,50.8732,4.6982
2,8765,50.8821,4.719
3,8769,50.869,4.6961
4,8773,50.8724,4.7167
5,8775,50.8828,4.7063
6,8777,50.8727,4.7118
7,8781,50.8839,4.7205
8,8783,50.8841,4.7204
9,8785,50.9279,4.7056
10,8787,50.881,4.7224
11,8789,50.8917,4.7253
12,8791,50.8891,4.7445
13,8793,50.8754,4.6853
14,8795,50.8646,4.7407
15,8797,50.8983,4.734
16,8799,50.8914,4.6965
17,8801,50.8878,4.7232
18,8803,50.8908,4.726
19,8805,50.8885,4.6923
20,8807,50.8692,4.7067
21,8809,50.8955,4.7024
22,8811,50.8825,4.7304
23,8813,50.873,4.7112
24,8815,50.87558,4.7275
25,8819,50.8758,4.7367
26,8821,50.8825,4.6855
27,8823,50.9044,4.6942
28,8825,50.8728,4.7149
29,8827,50.855,4.696
30,8829,50.8922,4.696
31,8831,50.756,4.4713
32,8833,50.8895,4.7306
33,8835,50.8923,4.7305
34,8837,50.8806,4.6978
35,8839,50.8617,4.7134
36,8841,50.9009,4.6957
37,8843,50.8838,4.7435
38,8845,50.8876,4.7501
39,8849,50.8607,4.6985
40,8853,50.858,4.693
41,8857,50.9039,4.6959
42,8859,50.9477,4.8329
43,8950,50.8894,4.7231
44,8993,50.8861,4.6979
45,9555,50.8831,4.7238
46,9561,50.8766,4.6824
47,9563,50.8693,4.7019
48,9565,50.8839,4.7097
49,9567,50.8616,4.7115
50,9569,50.8948,4.7019
51,9571,50.8816,4.7353
52,9577,50.8577,4.6984
53,9579,50.8677,4.7318
54,9583,50.8627,4.6921
55,9585,50.8756,4.7145
56,9587,50.8896,4.7267
57,9589,50.8827,4.6956
58,9591,50.8791,4.6918
59,9593,50.8719,4.7131
60,9595,50.8766,4.6908
61,9597,50.8903,4.7234
62,9601,50.9034,4.7293
63,9603,50.9022,4.7405
64,9605,50.8751,4.6893
65,9609,50.8706,4.698
66,9611,50.8758,4.721
67,9613,50.8697,4.7071
68,9619,50.886,4.6839
69,9621,50.9062,4.7002
70,9623,50.882,4.7174
71,9625,50.9247,4.6971
72,9629,50.8834,4.6989
73,9631,50.8765,4.6835
74,9633,50.8695,4.7242
75,9635,50.8894,4.7311
76,9637,50.8668,4.7105
77,9639,50.8727,4.7315
78,9643,50.8994,4.7193
79,9753,50.9087,4.6622
80,9801,50.901,4.6726
81,9812,50.8765,4.7386
82,9825,50.8763,4.6908
83,10045,50.8775,4.741
84,10739,50.8766,4.6821
85,10741,50.8754,4.6853
86,11529,50.8859,4.6934
87,12030,50.8718,4.7148
88,12183,50.864,4.6333
89,12505,50.8642,4.6799
90,12554,50.8677,4.7002
91,12855,50.8676,4.7227
92,13526,50.8821,4.719
93,13528,50.8821,4.719
94,13649,50.9186,4.6873
95,15986,50.8706,4.6052
96,16358,50.8723,4.7308
97,16551,50.8568,4.6856
98,16809,50.8727,4.7315
99,19832,50.8507,4.5982
100,21569,50.8785,4.6853
101,22953,50.8843,4.7103
102,24241,50.8923,4.6923
103,24719,50.8562,4.6857
104,26686,50.9003,4.6477
105,30627,50.8894,4.7231
