geometry.coordinates,geometry.type,properties.bike,properties.bike_avg,properties.car,properties.car_avg,properties.car_speed_buckets,properties.car_speed_histogram,properties.id,properties.last_data_package,properties.lorry,properties.lorry_avg,properties.oneway,properties.pedestrian,properties.pedestrian_avg,properties.road_speed,properties.road_type,properties.speed,properties.typical_data,type
"[[[4.584397821453392, 51.12834082089698], [4.584530737304404, 51.1283428218792], [4.584653341660802, 51.12834466790482], [4.586298696736095, 51.12837301897896], [4.586400107740886, 51.128373775987576], [4.5864093711407925, 51.12837384513881], [4.586615393112055, 51.12837538286642]]]",MultiLineString,,0,,0,,,84238,,,0,False,,0,,,50,,Feature
"[[[4.672590795962118, 52.11733000219071], [4.67247359596215, 52.11738280219068], [4.67231969596219, 52.11741520219067], [4.671551395962388, 52.117487102190545]]]",MultiLineString,67.0,49,1342.0,156,"[0, 1, 2, 3, 4, 5, 6, 7]","[7, 4, 11, 57, 325, 496, 319, 128]",9000000005,,234.0,70,False,13.0,8,,,50,"[{'hour': '05:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '06:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '07:00:00', 'pedestrian': 0, 'bike': 0, 'car': 49, 'lorry': 245}, {'hour': '08:00:00', 'pedestrian': 4, 'bike': 20, 'car': 100, 'lorry': 0}, {'hour': '09:00:00', 'pedestrian': 3, 'bike': 13, 'car': 94, 'lorry': 0}, {'hour': '10:00:00', 'pedestrian': 2, 'bike': 9, 'car': 99, 'lorry': 0}, {'hour': '11:00:00', 'pedestrian': 1, 'bike': 12, 'car': 115, 'lorry': 0}, {'hour': '12:00:00', 'pedestrian': 6, 'bike': 14, 'car': 111, 'lorry': 0}, {'hour': '13:00:00', 'pedestrian': 5, 'bike': 17, 'car': 119, 'lorry': 0}, {'hour': '14:00:00', 'pedestrian': 2, 'bike': 18, 'car': 117, 'lorry': 0}, {'hour': '15:00:00', 'pedestrian': 2, 'bike': 19, 'car': 127, 'lorry': 0}, {'hour': '16:00:00', 'pedestrian': 1, 'bike': 19, 'car': 111, 'lorry': 0}, {'hour': '17:00:00', 'pedestrian': 4, 'bike': 24, 'car': 167, 'lorry': 0}, {'hour': '18:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '19:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '20:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '21:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
"[[[4.844638195731497, 50.327054302724086], [4.845255395731344, 50.327072702724145], [4.84642349573106, 50.32715620272424], [4.846556295731022, 50.32712410272428], [4.846677895730987, 50.3270702027243], [4.8469007957309, 50.326789102724426], [4.847002495730864, 50.32669620272448], [4.847169195730811, 50.326613602724514], [4.848549395730426, 50.32625980272478], [4.848990395730317, 50.32624340272482], [4.849286095730232, 50.3261784027249], [4.850888095729792, 50.32582630272519], [4.851223095729701, 50.325751602725255], [4.851539995729613, 50.32567780272532], [4.852039595729474, 50.32556540272541], [4.852172995729434, 50.32552670272541]]]",MultiLineString,,0,,0,,,3000136655,,,0,False,,0,,,50,,Feature
"[[[3.9993072959552927, 50.45575610258816], [3.9995160959552316, 50.45565960258821], [3.9995777959552106, 50.45561210258823], [3.9999155959550925, 50.45528730258836]]]",MultiLineString,,0,,0,,,3000129228,,,0,False,,0,,,50,,Feature
"[[[15.448795992214585, 47.06951620560343], [15.448916792214488, 47.069156405603586], [15.449005192214424, 47.06889340560371], [15.449042792214394, 47.06876520560377], [15.44908199221436, 47.06863970560384], [15.449123792214326, 47.068505705603926]]]",MultiLineString,77.0,19,133.0,7,"[0, 1, 2, 3]","[39, 65, 24, 6]",2000026769,,21.0,0,False,36.0,10,,,50,"[{'hour': '05:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '06:00:00', 'pedestrian': 0, 'bike': 1, 'car': 8, 'lorry': 0}, {'hour': '07:00:00', 'pedestrian': 4, 'bike': 6, 'car': 10, 'lorry': 0}, {'hour': '08:00:00', 'pedestrian': 4, 'bike': 15, 'car': 15, 'lorry': 0}, {'hour': '09:00:00', 'pedestrian': 3, 'bike': 13, 'car': 16, 'lorry': 0}, {'hour': '10:00:00', 'pedestrian': 2, 'bike': 10, 'car': 22, 'lorry': 0}, {'hour': '11:00:00', 'pedestrian': 1, 'bike': 8, 'car': 26, 'lorry': 0}, {'hour': '12:00:00', 'pedestrian': 2, 'bike': 12, 'car': 17, 'lorry': 0}, {'hour': '13:00:00', 'pedestrian': 4, 'bike': 9, 'car': 11, 'lorry': 0}, {'hour': '14:00:00', 'pedestrian': 5, 'bike': 10, 'car': 11, 'lorry': 0}, {'hour': '15:00:00', 'pedestrian': 5, 'bike': 11, 'car': 11, 'lorry': 0}, {'hour': '16:00:00', 'pedestrian': 5, 'bike': 13, 'car': 14, 'lorry': 0}, {'hour': '17:00:00', 'pedestrian': 6, 'bike': 18, 'car': 14, 'lorry': 0}, {'hour': '18:00:00', 'pedestrian': 4, 'bike': 16, 'car': 15, 'lorry': 0}, {'hour': '19:00:00', 'pedestrian': 3, 'bike': 10, 'car': 12, 'lorry': 0}, {'hour': '20:00:00', 'pedestrian': 14, 'bike': 0, 'car': 41, 'lorry': 0}, {'hour': '21:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
"[[[15.448795992214585, 47.06951620560343], [15.448916792214488, 47.069156405603586], [15.449005192214424, 47.06889340560371], [15.449042792214394, 47.06876520560377], [15.44908199221436, 47.06863970560384], [15.449123792214326, 47.068505705603926]]]",MultiLineString,77.0,19,133.0,7,"[0, 1, 2, 3]","[39, 65, 24, 6]",2000026769,,21.0,0,False,36.0,10,,,50,"[{'hour': '05:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '06:00:00', 'pedestrian': 0, 'bike': 1, 'car': 8, 'lorry': 0}, {'hour': '07:00:00', 'pedestrian': 4, 'bike': 6, 'car': 10, 'lorry': 0}, {'hour': '08:00:00', 'pedestrian': 4, 'bike': 15, 'car': 15, 'lorry': 0}, {'hour': '09:00:00', 'pedestrian': 3, 'bike': 13, 'car': 16, 'lorry': 0}, {'hour': '10:00:00', 'pedestrian': 2, 'bike': 10, 'car': 22, 'lorry': 0}, {'hour': '11:00:00', 'pedestrian': 1, 'bike': 8, 'car': 26, 'lorry': 0}, {'hour': '12:00:00', 'pedestrian': 2, 'bike': 12, 'car': 17, 'lorry': 0}, {'hour': '13:00:00', 'pedestrian': 4, 'bike': 9, 'car': 11, 'lorry': 0}, {'hour': '14:00:00', 'pedestrian': 5, 'bike': 10, 'car': 11, 'lorry': 0}, {'hour': '15:00:00', 'pedestrian': 5, 'bike': 11, 'car': 11, 'lorry': 0}, {'hour': '16:00:00', 'pedestrian': 5, 'bike': 13, 'car': 14, 'lorry': 0}, {'hour': '17:00:00', 'pedestrian': 6, 'bike': 18, 'car': 14, 'lorry': 0}, {'hour': '18:00:00', 'pedestrian': 4, 'bike': 16, 'car': 15, 'lorry': 0}, {'hour': '19:00:00', 'pedestrian': 3, 'bike': 10, 'car': 12, 'lorry': 0}, {'hour': '20:00:00', 'pedestrian': 14, 'bike': 0, 'car': 41, 'lorry': 0}, {'hour': '21:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
"[[[15.451218492213773, 47.06949100560392], [15.451283392213771, 47.069632705603865], [15.451391192213773, 47.06986600560381], [15.451454092213776, 47.06998710560376]]]",MultiLineString,669.0,120,3775.0,360,"[0, 1, 2, 3, 4, 5, 6, 7]","[871, 2313, 439, 28, 14, 14, 14, 84]",2000026746,,279.0,0,False,1295.0,0,,,50,"[{'hour': '05:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '06:00:00', 'pedestrian': 29, 'bike': 29, 'car': 182, 'lorry': 4}, {'hour': '07:00:00', 'pedestrian': 113, 'bike': 41, 'car': 273, 'lorry': 15}, {'hour': '08:00:00', 'pedestrian': 92, 'bike': 50, 'car': 204, 'lorry': 18}, {'hour': '09:00:00', 'pedestrian': 67, 'bike': 61, 'car': 147, 'lorry': 15}, {'hour': '10:00:00', 'pedestrian': 48, 'bike': 67, 'car': 166, 'lorry': 14}, {'hour': '11:00:00', 'pedestrian': 24, 'bike': 82, 'car': 207, 'lorry': 19}, {'hour': '12:00:00', 'pedestrian': 21, 'bike': 81, 'car': 216, 'lorry': 15}, {'hour': '13:00:00', 'pedestrian': 30, 'bike': 70, 'car': 207, 'lorry': 16}, {'hour': '14:00:00', 'pedestrian': 16, 'bike': 57, 'car': 222, 'lorry': 17}, {'hour': '15:00:00', 'pedestrian': 67, 'bike': 53, 'car': 209, 'lorry': 11}, {'hour': '16:00:00', 'pedestrian': 109, 'bike': 66, 'car': 230, 'lorry': 12}, {'hour': '17:00:00', 'pedestrian': 89, 'bike': 62, 'car': 237, 'lorry': 4}, {'hour': '18:00:00', 'pedestrian': 81, 'bike': 64, 'car': 220, 'lorry': 1}, {'hour': '19:00:00', 'pedestrian': 69, 'bike': 53, 'car': 164, 'lorry': 0}, {'hour': '20:00:00', 'pedestrian': 25, 'bike': 0, 'car': 99, 'lorry': 0}, {'hour': '21:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
"[[[4.36989622163351, 50.869763476374665], [4.370116583800509, 50.8699504084103], [4.370885442728208, 50.87060055458184], [4.370950518346804, 50.870756466043645]]]",MultiLineString,,0,,0,,,1003073660,,,0,False,,0,,,50,,Feature
"[[[4.375625153038255, 50.85991509263234], [4.375475590643391, 50.859947637653335], [4.374787545408982, 50.8600985132413], [4.373881239769431, 50.86029826323968], [4.373109503580295, 50.860467411897986], [4.372439816335201, 50.86061301015267], [4.371692479831961, 50.86077835072856], [4.371556096990182, 50.86076160564281]]]",MultiLineString,466.0,37,4438.0,275,"[0, 1, 2, 3, 4, 5, 6, 7]","[232, 563, 1448, 1182, 450, 178, 147, 242]",1011117339,,2210.0,104,False,51.0,4,,,50,"[{'hour': '05:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '06:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '07:00:00', 'pedestrian': 0, 'bike': 0, 'car': 0, 'lorry': 74}, {'hour': '08:00:00', 'pedestrian': 0, 'bike': 29, 'car': 136, 'lorry': 33}, {'hour': '09:00:00', 'pedestrian': 1, 'bike': 23, 'car': 86, 'lorry': 11}, {'hour': '10:00:00', 'pedestrian': 1, 'bike': 19, 'car': 76, 'lorry': 7}, {'hour': '11:00:00', 'pedestrian': 1, 'bike': 21, 'car': 83, 'lorry': 10}, {'hour': '12:00:00', 'pedestrian': 0, 'bike': 22, 'car': 60, 'lorry': 8}, {'hour': '13:00:00', 'pedestrian': 1, 'bike': 21, 'car': 47, 'lorry': 7}, {'hour': '14:00:00', 'pedestrian': 0, 'bike': 24, 'car': 72, 'lorry': 5}, {'hour': '15:00:00', 'pedestrian': 1, 'bike': 27, 'car': 83, 'lorry': 5}, {'hour': '16:00:00', 'pedestrian': 2, 'bike': 44, 'car': 220, 'lorry': 3}, {'hour': '17:00:00', 'pedestrian': 0, 'bike': 30, 'car': 228, 'lorry': 123}, {'hour': '18:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '19:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '20:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '21:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
"[[[4.37389490432045, 50.867077449017046], [4.373983054641329, 50.86718789485928], [4.37433887295914, 50.86778425804812], [4.3743870111185075, 50.86786493793132]]]",MultiLineString,85.0,1,347.0,10,"[0, 1, 2, 3, 4, 5, 6, 7]","[165, 51, 51, 4, 18, 4, 15, 43]",1003073538,,79.0,0,False,97.0,7,,,50,"[{'hour': '05:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '06:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '07:00:00', 'pedestrian': 0, 'bike': 0, 'car': 30, 'lorry': 0}, {'hour': '08:00:00', 'pedestrian': 9, 'bike': 0, 'car': 13, 'lorry': 0}, {'hour': '09:00:00', 'pedestrian': 11, 'bike': 1, 'car': 14, 'lorry': 0}, {'hour': '10:00:00', 'pedestrian': 7, 'bike': 2, 'car': 18, 'lorry': 1}, {'hour': '11:00:00', 'pedestrian': 8, 'bike': 4, 'car': 18, 'lorry': 1}, {'hour': '12:00:00', 'pedestrian': 14, 'bike': 10, 'car': 17, 'lorry': 1}, {'hour': '13:00:00', 'pedestrian': 7, 'bike': 8, 'car': 14, 'lorry': 0}, {'hour': '14:00:00', 'pedestrian': 10, 'bike': 3, 'car': 13, 'lorry': 0}, {'hour': '15:00:00', 'pedestrian': 7, 'bike': 3, 'car': 13, 'lorry': 0}, {'hour': '16:00:00', 'pedestrian': 13, 'bike': 4, 'car': 14, 'lorry': 0}, {'hour': '17:00:00', 'pedestrian': 7, 'bike': 1, 'car': 14, 'lorry': 0}, {'hour': '18:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '19:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '20:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '21:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
