bikes_left,bikes_right,cars_left,cars_right,direction,last_data_package,mac,manual,pedestrians_left,pedestrians_right,segment_id,status,time_added,user_id
False,True,True,True,True,2020-02-17T20:04:58.388Z,202481600960533,False,False,True,349353,active,2019-03-31T20:12:55.005Z,170
True,True,True,True,False,2020-02-17T20:07:06.513Z,202481587682671,False,True,True,460252,active,2019-11-08T08:56:51.029Z,1057
True,True,True,True,False,2020-02-17T20:05:03.459Z,202481588403398,False,True,True,108487,active,2019-11-14T16:02:42.031Z,1137
True,True,True,True,True,2020-02-17T20:05:12.073Z,202481593746471,False,False,True,1003073349,active,2019-11-09T11:27:13.709Z,1079
True,True,True,True,False,2020-02-17T20:07:10.992Z,202481592758650,False,True,True,38007,active,2019-11-23T14:28:35.765Z,1128
True,True,True,True,False,2020-02-17T20:08:19.309Z,202481601880250,False,False,True,159218,active,2019-11-16T13:45:49.207Z,1155
True,False,True,True,True,2020-02-17T20:05:34.754Z,202481587218952,False,True,False,65699,active,2019-05-05T20:25:54.903Z,324
True,True,True,True,False,2020-02-17T20:06:07.375Z,202481590370069,False,True,True,9000000064,active,2020-02-17T17:19:03.050Z,1501
True,True,True,True,True,2020-02-17T20:06:09.472Z,202481590283639,False,False,False,506176,active,2019-10-12T08:08:21.524Z,197
False,True,True,True,True,2020-02-17T20:06:57.790Z,202481601991611,False,False,True,80491,active,2019-12-24T09:12:40.142Z,1284
False,True,True,True,False,2020-02-17T20:07:19.542Z,202481598421115,False,False,True,9000000017,active,2020-02-01T13:36:02.412Z,1455
True,True,True,True,True,2020-02-17T20:06:32.096Z,202481587310658,False,False,True,155401,active,2019-11-24T14:23:21.719Z,1189
True,True,True,True,False,2020-02-17T20:05:35.705Z,202481589217502,False,True,True,311542,active,2019-10-29T17:33:48.343Z,909
True,True,True,True,False,2020-02-17T20:07:21.320Z,202481588641665,False,True,True,1,active,2020-01-26T22:41:14.121Z,1334
True,True,True,True,True,2020-02-17T20:06:09.472Z,202481590283639,False,False,False,351172,active,2019-04-06T05:19:09.710Z,197
True,True,True,True,True,2020-02-17T20:06:09.472Z,202481590283639,False,False,False,347948,active,2019-04-07T20:57:01.080Z,197
True,True,True,True,False,2020-02-17T20:06:13.865Z,202481599492958,False,True,True,9000000051,active,2020-02-13T13:43:10.559Z,1351
True,True,True,True,False,2020-02-17T20:06:37.675Z,202481586560607,False,True,True,269530,active,2019-05-09T09:26:05.906Z,326
True,True,True,True,True,2020-02-17T20:06:59.624Z,202481593774378,False,False,True,424547,active,2019-05-04T09:57:30.153Z,300
True,True,True,True,False,2020-02-17T20:04:56.733Z,202481600988678,False,False,False,56053,active,2019-09-17T13:59:54.406Z,521
True,True,True,True,True,2020-02-17T20:07:21.320Z,202481588641665,False,True,True,0,active,2020-01-05T12:53:24.719Z,1334
True,True,True,True,False,,202481600274,False,True,True,63170,non_active,2020-01-16T11:36:19.996Z,1341
True,True,True,True,True,2019-08-08T17:54:29.956Z,202481600601686,False,True,True,108408,non_active,2019-07-13T18:05:27.466Z,431
True,True,True,True,True,,20248159669414,False,False,True,77605,non_active,2019-12-06T17:31:39.558Z,1219
True,True,True,True,False,,202481595353728,False,True,True,9000000025,non_active,2020-02-02T10:29:13.673Z,1462
True,True,True,True,True,2019-07-27T01:53:07.602Z,202481593507280,False,True,True,166004,non_active,2019-05-25T12:42:31.602Z,367
False,False,False,False,True,,0,False,False,False,9000000037,non_active,2020-02-06T11:03:32.270Z,1198
False,True,True,True,False,2019-07-23T22:47:14.461Z,202481593085320,False,False,False,426698,non_active,2019-05-05T15:13:44.034Z,258
True,True,True,True,False,,202481587927887,False,False,False,1003073665,non_active,2019-11-11T16:52:17.532Z,1097
True,True,True,True,True,2019-08-08T04:25:13.455Z,202481596179159,False,True,True,501054,non_active,2019-05-05T12:25:44.714Z,317
False,False,True,True,True,2019-09-25T08:38:31.696Z,202481600952141,False,False,False,165192,non_active,2019-05-24T16:21:15.464Z,387
False,True,True,True,False,,202481600857487,False,False,True,551294,non_active,2019-12-16T16:26:04.032Z,1273
True,True,True,True,False,,202481597468713,False,True,True,159458,non_active,2019-12-07T11:49:42.352Z,1239
True,True,True,True,True,2019-07-05T19:26:55.108Z,202481599679537,False,False,True,425239,non_active,2019-05-05T09:42:45.011Z,265
True,True,True,True,True,2019-11-26T15:01:49.403Z,202481599867095,False,False,True,281633,non_active,2019-10-18T13:20:31.682Z,938
True,True,True,True,True,2019-08-06T08:49:25.231Z,202481598772556,False,True,True,314773,non_active,2019-04-23T16:33:31.922Z,230
True,True,True,True,False,,202481590717276,False,True,True,2000026691,non_active,2019-10-22T11:35:36.243Z,493
True,True,True,True,True,2019-05-17T01:25:07.526Z,202481590085843,False,False,True,349978,non_active,2019-03-23T10:03:57.240Z,65
True,True,True,True,True,2019-12-06T00:25:58.583Z,202481596576842,False,False,True,1003073489,non_active,2019-11-11T10:49:31.281Z,1092
False,True,True,True,False,2019-05-18T14:50:54.916Z,202481586093108,False,False,True,105094,non_active,2019-05-05T16:24:01.082Z,313
True,True,True,True,False,2019-10-24T01:13:50.129Z,202481586338948,False,False,True,166522,non_active,2019-05-26T13:39:08.710Z,390
True,True,True,True,True,,202481590756548,False,True,False,463564,non_active,2019-10-29T14:22:19.853Z,1023
True,True,True,True,False,2020-01-08T06:08:26.595Z,202481591423311,False,True,True,276662,non_active,2019-10-29T11:59:17.658Z,1019
True,True,True,True,False,2019-12-06T00:52:52.965Z,202481589158963,False,False,True,159002,non_active,2019-11-16T08:08:37.486Z,1152
True,True,True,True,False,,307923,False,True,True,377443,non_active,2020-01-13T19:21:21.955Z,1366
True,True,True,True,False,2019-11-20T08:15:00.726Z,202481593513471,False,False,False,166676,non_active,2019-05-07T11:58:27.879Z,342
False,True,True,True,False,2019-11-20T13:25:50.667Z,202481588468099,False,False,True,425678,non_active,2019-10-22T00:16:07.936Z,794
True,True,True,True,True,2019-08-15T00:56:44.590Z,202481596116523,False,False,True,351289,non_active,2019-03-27T07:36:57.845Z,110
True,True,True,True,False,2019-07-01T22:29:20.745Z,202481596273227,False,False,False,349740,non_active,2019-05-06T18:36:16.205Z,337
False,True,True,True,True,2019-09-01T23:40:17.734Z,202481590428863,False,False,True,166238,non_active,2019-05-27T18:51:15.496Z,391
True,True,True,True,False,2019-09-26T23:47:41.035Z,202481594876945,False,False,False,59835,non_active,2019-07-30T10:39:43.458Z,445
False,True,True,True,True,2019-06-27T19:39:25.279Z,202481601772419,False,False,True,423294,non_active,2019-05-04T15:13:11.394Z,266
True,True,True,True,False,2019-05-27T04:25:27.083Z,202481592481961,False,True,True,350565,non_active,2019-04-11T14:16:33.823Z,211
True,True,True,True,True,2019-05-30T18:44:56.132Z,202481592596169,False,False,False,45932,non_active,2019-05-24T16:29:37.328Z,232
True,True,True,True,True,2019-06-05T23:29:45.809Z,202481588745068,False,True,True,418558,non_active,2019-05-05T12:24:09.186Z,308
True,True,True,True,True,2019-11-21T01:23:59.539Z,202481600218857,False,True,True,349541,non_active,2019-03-31T18:07:03.035Z,171
True,True,True,True,False,,202481590717276,False,True,True,2000026751,non_active,2019-10-22T11:31:41.790Z,493
True,True,True,True,True,,202481599486035,False,True,True,156203,non_active,2019-05-09T13:48:11.117Z,185
False,True,True,True,True,2019-11-13T23:20:30.709Z,202481601886008,False,False,True,2000031875,non_active,2019-09-13T12:44:05.818Z,529
True,True,True,True,True,,202484597933847,False,True,True,256822,non_active,2020-01-15T15:52:19.593Z,1384
True,True,True,True,True,2019-06-03T01:42:47.758Z,202481598948554,False,True,True,349726,non_active,2019-03-31T14:34:19.113Z,167
False,True,True,True,False,2019-11-14T01:47:07.787Z,202481597210760,False,False,True,59797,non_active,2019-09-03T05:19:03.747Z,435
True,True,True,True,True,2019-07-07T04:25:24.526Z,202481590627130,False,True,True,122101,non_active,2019-05-16T11:43:35.740Z,371
